"name","category","source","concept","formula","input_data","signal_direction","rationale","normalization","limitation","related_existing"
"price_position_range","early_bar","Generic","Close position in current day's range","hh=max(H_i i=[0..D]); ll=min(L_i i=[0..D]); r=(C_D-ll)/(hh-ll+1e-8)","OHLC bars[0..D]","Contextual; near 1 = near high; near 0 = near low","Position in range at decision time encodes where value/bids/offers stand","Already [0,1]","Independent of opening direction","cl_pos_in_range;session_high_proximity"
"open_to_current_return","early_bar","Generic","Return from open to decision close","r=(C_D-O0)/(O0+1e-8)","OHLC bars[0..D]","Continuous; positive = above open; negative = below","Captures cumulative drift from opening price; simple but powerful","Divide by ATR for stationarity","Needs ATR normalization","opening_range_position;first_bar_sentiment"
"bar_size_trend","early_bar","Generic","Range expansion or contraction","r=regression_slope((H_i-L_i) index=[0..D])/(mean(H_i-L_i)+1e-8)","OHLC bars[0..D]","Positive = expanding bars; Negative = contracting","Expanding bars show escalating volatility; contracting = resolution/coiling","Divide by mean for ratio","Noisy with few bars","range_expansion_ratio;early_range"
"body_size_trend","early_bar","Generic","Body expansion or contraction","r=regression_slope(abs(C_i-O_i) index=[0..D])/(mean(abs(C_i-O_i)+1e-8))","OHLC bars[0..D]","Positive = growing bodies; Negative = shrinking bodies","Growing bodies = stronger directional commitment; shrinking = indecision widening","Divide by mean for ratio","Zero bodies problematic","open_efficiency;trend_bar_dominance"
"volume_acceleration","early_bar","Generic","Volume change acceleration","r=(mean(V_{D-1..D})-mean(V_{0..1}))/(mean(V_i)+1e-8)","OHLCV bars[0..D]","Positive = volume accelerating toward decision","Rising volume into decision = building institutional commitment late","Winsorize 95th","Outlier sensitive","volume_trend_intraday;volume_per_bar_regime"
"pullback_depth_max","early_bar","Generic","Max pullback from opening high","hh=max(H_i i=[0..D]); r=(hh-min(C_i))/(hh-ll+1e-8) where ll=min(L_i)","OHLC bars[0..D]","Negative; deep pullback = strong rejection","Deep pullback from opening high shows aggressive selling absorption","Already [0,1]","Meaningless if hh≈ll","pullback_ratio;rally_ratio"
"rally_strength_max","early_bar","Generic","Max rally from opening low","ll=min(L_i i=[0..D]); r=(max(C_i)-ll)/(hh-ll+1e-8) where hh=max(H_i)","OHLC bars[0..D]","Positive; strong rally = aggressive buying","Strong rally from opening low shows aggressive demand absorption","Already [0,1]","Meaningless if hh≈ll","pullback_ratio;rally_ratio"
"intraday_autocorr","early_bar","Generic","Lag-1 return autocorrelation","r=corr((C_i-C_{i-1})/(C_{i-1}+1e-8), (C_{i+1}-C_i)/(C_i+1e-8) for i=[0..D-2])","OHLC bars[0..D]","Positive = trend persistence; Negative = mean-reversion","Positive autocorr = trending; negative = choppy/mean-reverting regime","Already [-1,+1]","Unstable with <5 bars","intraday_slope;high_low_sequence_momentum"
"trend_adherence","early_bar","Generic","Fraction bars following bar n-1 direction","r=sum(1 for i in [1..D] if sign(C_i-O_i)==sign(C_{i-1}-O_{i-1}))/(D)","OHLC bars[0..D]","High = trend persistence; Low = choppy","Higher adherence = clearer trend; low adherence = whipsaw regime","Already [0,1]","Zero if all bars flip","trend_strength_intraday;early_body_momentum"
"upper_wick_dominance","early_bar","Generic","Max upper wick / max lower wick","r=max(H_i-max(O_i,C_i))/max(min(O_i,C_i)-L_i+1e-8) over bars where max>min+1e-8","OHLC bars[0..D]","High = rejection of highs; Low = rejection of lows","Relative tail dominance shows which side is rejecting prices more aggressively","Winsorize 95th","Zero division when no lower wicks","upper_shadow_rejection;lower_shadow_rejection"
"early_trend_hhi","early_bar","Generic","Herfindahl of bar directions","signs=[sign(C_i-O_i) for i in [0..D]]; r=sum((count(s)/len(signs))^2 for s in {+1,-1})","OHLC bars[0..D]","High (near 1) = all bars same direction; Low (0.5) = mixed","Concentration of direction measures regime clarity; HHI near 1 = strong trend","Already [0.5,1]","0.5 = perfectly mixed","trend_strength_intraday;consecutive_up_closes"
"decision_bar_range_rank","early_bar","Generic","Decision bar range rank in opening","r=rank((H_D-L_D) in [(H_i-L_i) for i in [0..D]])/(D+1)","OHLC bars[0..D]","High = decision bar has largest range","Largest range at decision = escalation; smallest = resolution","Already [0,1]","Many ties with small D","range_expansion_final_bar;early_range"
"consecutive_down_closes_strength","early_bar","Generic","Max consecutive down closes ratio","dn=0; r=max(dn_i where dn_i=(C_i<C_{i-1})?nz(dn_{i-1})+1:0 for i in [0..D])/(D+1) with dn0=1","OHLC bars[0..D]","Negative; long streak = momentum continuation","Normalized by length to compare strength across different D","Already [0,1]","Weak standalone","consecutive_down_closes;consecutive_up_closes"
"consecutive_up_closes_strength","early_bar","Generic","Max consecutive up closes ratio","up=0; r=max(up_i where up_i=(C_i>C_{i-1})?nz(up_{i-1})+1:0 for i in [0..D])/(D+1) with up0=1","OHLC bars[0..D]","Positive; long streak = momentum continuation","Normalized by length to compare strength across different D","Already [0,1]","Weak standalone","consecutive_up_closes;consecutive_down_closes"
"volume_regime_shift","early_bar","Generic/HPotter","Volume vs prior day same bar","r=(sum(V_i for i in [0..D]) - sma_vol_recent[same_bars])/(sma_vol_recent[same_bars]+1e-8)","OHLCV bars[0..D]; Index recent same-bar volume","Positive = above-normal volume regime","Comparing to prior N days same opening-bar volume detects regime change","Winsorize 95th","Needs 10+ days history","volume_per_bar_regime;volume_surge_max"
"rsi_opening","early_bar","Generic","RSI on opening bars","up=mean(max(C_i-O_i,0) for i in [0..D]); dn=mean(max(O_i-C_i,0) for i in [0..D]); r=100-100/(1+up/(dn+1e-8))","OHLC bars[0..D]","Contextual; >70 overbought; <30 oversold","RSI captures momentum exhaustion in opening session; extreme values predict fade","Already [0,100]; min-max to [0,1]","Unstable with few bars","early_body_momentum;consecutive_up_closes"
"stoch_opening","early_bar","Generic","Stochastic in opening bars","hh=max(H_i); ll=min(L_i); r=100*(C_D-ll)/(hh-ll+1e-8)","OHLC bars[0..D]","Contextual; >80 overbought; <20 oversold","Stochastic measures close position in opening range; extreme = exhaustion","Already [0,100]; min-max to [0,1]","Zero range problematic","cl_pos_in_range;early_range"
"adx_opening","early_bar","Generic","ADX-like trend strength opening","up_move=max(H_i-L_{i-1},0); dn_move=max(L_{i-1}-H_i,0); atr=mean(max(H_i-L_i,max(abs(H_i-C_i),abs(L_i-C_i))) for i); +dm=mean(up_move); -dm=mean(dn_move); dx=100*abs(+dm-(-dm))/(+dm+(-dm)+1e-8); r=mean(dx)","OHLC bars[0..D]","Continuous [0,100]; high = strong trend","ADX measures whether opening session is trending or ranging; >25 = trend","Already [0,100]; min-max to [0,1],"Needs >=14 bars; D usually small","trend_strength_intraday;early_realized_vol"
"yesterday_range_ratio","day_level","Generic","Yesterday range normalized","r=(high_daily[T-1]-low_daily[T-1])/close_daily[T-1]","Daily OHLC T-1","Positive; wide range = high vol event","Yesterday range reflects prior session uncertainty; wide range = volatile regime","Divide by close","Corporate actions distort ranges","early_realized_vol;atr_20d"
"yesterday_body_ratio","day_level","Generic","Yesterday body ratio","r=abs(close_daily[T-1]-open_daily[T-1])/(high_daily[T-1]-low_daily[T-1]+1e-8)","Daily OHLC T-1","Contextual; close to 1 = strong directional day","Strong body yesterday = strong conviction; doji = indecision carries over","Already [0,1]","Zero/doji days","bar_body_rng_i;gap_pct"
"yesterday_volume_ratio","day_level","Generic","Yesterday volume vs recent avg","r=volume_daily[T-1]/sma_volume_daily(20,T-1)+1e-8","Daily volume T-1; 20-day volume history","Positive = above-average volume day","Above-average volume yesterday = institutional activity; may affect today's open","Winsorize 95th","Rebalance/index events","vol_ratio;volume_surge_max"
"yesterday_return","day_level","Generic","Yesterday return","r=(close_daily[T-1]-close_daily[T-2])/close_daily[T-2]","Daily OHLC T-2..T-1","Continuous; positive = up day; negative = down day","Prior day return sets baseline expectation; mean-reversion or continuation effects","Divide by atr_daily for stationarity","Momentum vs reversal regime","gap_pct;yesterday_gap_pct"
"yesterday_gap","day_level","Generic","Yesterday gap from prior day","r=(open_daily[T-1]-close_daily[T-2])/close_daily[T-2]","Daily OHLC T-2..T-1","Continuous; positive = gap up; negative = gap down","Yesterday gap indicates overnight sentiment; large gaps often partially fill today","Winsorize 95th","Weekend gaps","gap_pct;yesterday_gap_pct"
"yesterday_close_position","day_level","Generic","Yesterday close in range","r=(close_daily[T-1]-low_daily[T-1])/(high_daily[T-1]-low_daily[T-1]+1e-8)","Daily OHLC T-1","Contextual; near 1 = closed at high; near 0 = closed at low","Closing near high/low indicates end-of-day conviction; affects overnight positioning","Already [0,1]","Equal high/low problematic","cl_pos_in_range;bar_body_rng_i"
"sma_distance_5d","day_level","Generic","Distance from 5-day SMA","r=(close_daily[T-1]-sma_daily(5,T-1))/sma_daily(5,T-1)+1e-8","Daily close T-252..T-1","Positive = above SMA; Negative = below","Price relative to short-term SMA indicates short-term trend direction","Winsorize 95th","Slow-changing in flat markets","sma_dists;sma20_d"
"sma_distance_20d","day_level","Generic","Distance from 20-day SMA","r=(close_daily[T-1]-sma_daily(20,T-1))/sma_daily(20,T-1)+1e-8","Daily close T-252..T-1","Positive = above SMA; Negative = below","Medium-term trend context; >20d SMA = bull regime; below = bear","Winsorize 95th","Lagging in fast markets","sma_dists;sma20_d"
"sma_distance_60d","day_level","Generic","Distance from 60-day SMA","r=(close_daily[T-1]-sma_daily(60,T-1))/sma_daily(60,T-1)+1e-8","Daily close T-252..T-1","Positive = above SMA; Negative = below","Long-term trend filter; avoids counter-trend entries in strong trends","Winsorize 95th","Very slow","sma_dists;sma60_d"
"volatility_percentile_20d","day_level","Generic","Current vol vs 20-day percentile","r=percentile_rank(atr_daily(14,T-1), atr_daily(14,T-20..T-1))","Daily ATR T-20..T-1","Continuous [0,1]; high = elevated vol","Relative vol context conditions how much conviction to expect in opening bars","Already [0,1]","Requires 20+ days","early_realized_vol;realized_vol_20d"
"volume_percentile_20d","day_level","Generic","Current volume vs 20-day percentile","r=percentile_rank(volume_daily[T-1], volume_daily(T-20..T-1))","Daily volume T-20..T-1","Continuous [0,1]; high = high participation","Relative volume context distinguishes normal from exceptional participation","Already [0,1]","Requires 20+ days","vol_ratio;yesterday_volume_ratio"
"yesterday_intraday_close_position","yesterday","Generic/early_bar","Yesterday decision bar close in range","r=(C_{yesterday,D}-L0_y)/(H0_y-L0_y+1e-8)","OHLC bars[0..D] for T-1","Contextual; near 1 = bullish carry-over; near 0 = bearish","Yesterday's closing position in its opening range predicts overnight positioning","Already [0,1]","Dependent on yesterday D","yesterday_close_position;or_fill_ratio"
"yesterday_gap_reversal","yesterday","Generic/Brooks","Yesterday gap reversal intensity","let p=T-2 close; g=(O0_{T-1}-p)/p; u=max(0,O0-min(L0,L1)_{T-1})/(g*p+1e-8) if g>0.002 else 0; d=max(0,max(H0,H1)_{T-1}-O0)/(-g*p+1e-8) if g<-0.002 else 0; r=u-d","OHLC bars[0..D] for T-1; prior close","Continuous [-1,1]; mirrors opening_gap_reversal but for yesterday","Yesterday gap reversal captured how prior day absorbed overnight imbalance","Bounded [-1,1]","Same as opening_gap_reversal but lagged","opening_gap_reversal;yesterday_gap"
"yesterday_spike_exhaustion","yesterday","Generic/Brooks","Yesterday spike exhaustion ratio","body=abs(C-O)/(H-L+1e-8); spike=max(body0,body1)_{T-1}; ch=mean(body_i i=2..D)_{T-1}; r=spike/(ch+1e-8)-1","OHLC bars[0..D] for T-1","Positive = exhausted spike yesterday; Negative = strong channel","Yesterday's exhaustion/follow-through condition sets up today's regime","Divide by atr for stationarity","Sensitive to outliers","spike_exhaustion_ratio;yesterday_body_ratio"
"yearly_high_distance","day_level","Generic","Distance from 52-week high","r=(close_daily[T-1]-max(high_daily[T-252..T-1]))/(atr_daily(14,T-1)+1e-8)","Daily OHLC T-252..T-1","Negative = near high; more negative = closer","Proximity to yearly high affects profit-taking behavior and trend strength","Winsorize [-2,2]","Requires 252 days","sma_distance_20d;measured_move_proximity"
"yearly_low_distance","day_level","Generic","Distance from 52-week low","r=(close_daily[T-1]-min(low_daily[T-252..T-1]))/(atr_daily(14,T-1)+1e-8)","Daily OHLC T-252..T-1","Positive = far from low; negative = near low","Proximity to yearly low affects dip-buying and support strength","Winsorize [-2,2]","Requires 252 days","sma_distance_20d;measured_move_proximity"
"vwap_touch_count","early_bar","Generic/VWAP","Price touches VWAP count","vwap_i=cumsum(C_j*V_j j=0..i)/cumsum(V_j j=0..i); r=sum(1 for i in [0..D] if min(L_i,C_i)<=vwap_i and max(H_i,C_i)>=vwap_i)","OHLCV bars[0..D]","High = mean-reversion around VWAP; Low = trending away","Frequent VWAP touches show price gravitating to value; predicts range expansion/reversion","Divide by (D+1) for ratio","Requires volume","vwap_deviation_max;vwap_cross_count"
"early_bullish_engulfing_count","early_bar","Generic/Chao","Bullish engulfing bars count","r=sum(1 for i in [1..D] where C_i>O_i and C_i>O_{i-1} and O_i<C_{i-1} and C_{i-1}<O_{i-1})","OHLC bars[0..D]","Positive; count indicates absorption strength","Bullish engulfing = aggressive bid absorbing prior supply; stacked = strong","Cap at 3; divide by (D+1)","Rare in strong downtrends","consecutive_bullish_engulfing;early_bullish_hammer"
"early_bearish_engulfing_count","early_bar","Generic/Chao","Bearish engulfing bars count","r=sum(1 for i in [1..D] where C_i<O_i and C_i<O_{i-1} and O_i>C_{i-1} and C_{i-1}>O_{i-1})","OHLC bars[0..D]","Negative; count indicates absorption strength","Bearish engulfing = aggressive offer absorbing prior demand; stacked = strong downside","Cap at 3; divide by (D+1)","Rare in strong uptrends","consecutive_bearish_engulfing;early_bearish_shooting_star"
"gap_fill_ratio","early_bar","Generic/FVG","Gap fill within opening session","r=sum(1 for i in [2..D] where gap_exists and fill_occurred)/(count gaps + 1e-8)","OHLC bars[0..D]","Negative; high fill ratio = mean-revert regime","Markets with frequent gap fills reward fade strategies over breakout strategies","Already [0,1]","Few gaps produce unstable ratio","opening_gap_reversal;intraday_bullish_fvg"
"close_to_high_ratio","early_bar","Generic","Close vs session high","hh=max(H_i i=[0..D]); r=(C_D-hh)/(hh-ll+1e-8) where ll=min(L_i)","OHLC bars[0..D]","Near 1 = closed near high = bullish","Close near high shows buyers won last-minute auction; predicts continued upside","Already [0,1]","Weak if hh≈ll","session_high_proximity;pullback_ratio"
"close_to_low_ratio","early_bar","Generic","Close vs session low","ll=min(L_i i=[0..D]); r=(C_D-ll)/(hh-ll+1e-8) where hh=max(H_i)","OHLC bars[0..D]","Near 0 = closed near low = bearish","Close near low shows sellers won last-minute auction; predicts continued downside","Already [0,1]","Weak if hh≈ll","session_low_proximity;pullback_ratio"
"opening_auction_imbalance","early_bar","Generic","Buy-sell imbalance from auction","r=sum((C_i-O_i)/(H_i-L_i+1e-8)*V_i for i in [0..D])/(sum(V_i)+1e-8)","OHLCV bars[0..D]","Continuous [-1,+1]; positive = net buying","Volume-weighted imbalance captures which side dominated opening auction","Already roughly [-1,+1]","Requires volume","net_volume_flow;volume_weighted_price_position"
"early_trend_consistency","early_bar","Generic","Consistency of trend direction","signs=[sign(C_i-C_{i-1}) for i in [1..D]]; positive=sum(1 for s in signs if s>0); negative=sum(1 for s in signs if s<0); r=max(positive,negative)/len(signs)","OHLC bars[0..D]","Continuous [0,1]; high = consistent trend","Consistent return direction shows trend; mixed shows chop/range","Already [0,1]","Zero when all zero returns","trend_adherence;intraday_autocorr"
"volume_surge_direction","early_bar","Generic/HPotter","Volume surge with direction","ev=sma_vol_daily[T-1]/48; peak=argmax(V_i); r=sign(C_peak-O_peak)*max(V_peak/(ev+1e-8)-1,0)","OHLCV bars[0..D]; Index daily volume T-1","Positive = bullish surge; Negative = bearish surge","Volume surge aligned with price direction shows institutional commitment","Winsorize 95th then [-1,+1]","Index rebalance days","volume_surge_max;volume_climax_exhaustion"
